"Timestamp","Participant number:","(1) Please recall and summarize the content of the video you watched as if explaining to a friend who is unfamiliar with the topic. (Please write as much as you can.)","(2) What is required for intercontinental migrations between Africa and Eurasia?","(3) ________ allow cold-adapted species to migrate into Africa.","(4) During cooling periods, cold-adapted species migrate toward Africa because...","(5) During cooling periods, ___________ drives migration direction for cold-adapted species.","(6) What factors have influenced the migration patterns of cold-adapted and warm-adapted antelope species between Eurasia and Africa, as discussed in the passage? (Please write as much as you can.)"
"2024/08/11 12:15:01 PM GMT+8","P3","/","(C) A land bridge and suitable habitat","(D) Cooling periods","(D) they escape competition.","(C) Habitat changes","The climate and habitat changes"
"2024/08/11 1:06:47 PM GMT+8","P2","Recorded","(C) A land bridge and suitable habitat","(D) Cooling periods","(B) habitat changes dictate migration.","(D) Desire for warmth","The availability of the inter continental bridge due to the temperature change"
"2024/08/11 6:21:51 PM GMT+8","P1",".","(C) A land bridge and suitable habitat","(D) Cooling periods","(B) habitat changes dictate migration.","(C) Habitat changes","Availability of the bridge that enables the migration"
"2024/08/12 12:09:51 PM GMT+8","16","n/a","(C) A land bridge and suitable habitat","(D) Cooling periods","(B) habitat changes dictate migration.","(C) Habitat changes","Climate and habitat changes have influenced the migration patterns. When the climate cools down, cold-adapted antelope migrate into Africa for more suitable habitats. "
"2024/08/13 1:02:22 PM GMT+8","P7","None","(C) A land bridge and suitable habitat","(D) Cooling periods","(A) there is more food.","(A) Food availability","Food, habitat and the bridge existence between the two continents"
"2024/08/13 9:01:03 PM GMT+8","P8","None","(C) A land bridge and suitable habitat","(D) Cooling periods","(B) habitat changes dictate migration.","(A) Food availability","The landbridge open or not"
"2024/08/13 11:03:47 PM GMT+8","P4","NA","(C) A land bridge and suitable habitat","(D) Cooling periods","(B) habitat changes dictate migration.","(C) Habitat changes","The existence of land bridge as in cooling condition the land bridge can existence longer and in warm conditions their existence are often with a shorter time period as the sea level become higher."
"2024/08/14 12:05:06 PM GMT+8","P6","NA","(C) A land bridge and suitable habitat","(D) Cooling periods","(B) habitat changes dictate migration.","(A) Food availability","The climate is the biggest issue, and the food avaliability drive the direction of the migration."
"2024/08/14 12:30:20 PM GMT+8","P12","Antelope Species migrated from the Europe to the Africa in the ice age. Back then there are a bridge between these places so it migrated down south. After that, the ice melted and the bridges disappeared and they stayed in the lands. ","(C) A land bridge and suitable habitat","(D) Cooling periods","(B) habitat changes dictate migration.","(C) Habitat changes","The migration happens when the weather changes. Antelope moved under the influence of the coolness and the existance of the bridge. That is how the Eurasia antelope moving to Africa back in the ice age and the change of habitat. "
"2024/08/14 4:02:36 PM GMT+8","P5","NA","(C) A land bridge and suitable habitat","(D) Cooling periods","(C) Africa becomes cooler.","(C) Habitat changes","地球气候的演变会导致，生态环境的变化，比如陆地桥的出现使得更多适应寒冷气候的欧亚大陆羚羊物种迁徙到了气候普遍温暖的非洲。"
"2024/08/14 5:18:26 PM GMT+8","11","N/A","(C) A land bridge and suitable habitat","(D) Cooling periods","(B) habitat changes dictate migration.","(D) Desire for warmth","The existing of land bridges; 在冷的环境下为了寻找warmer places，在热的环境下为了寻找cooler places"
"2024/08/14 5:26:07 PM GMT+8","P15","Forget","(C) A land bridge and suitable habitat","(D) Cooling periods","(A) there is more food.","(A) Food availability","Food,  habitat"
"2024/08/14 6:54:42 PM GMT+8","P9","I can’t recall.","(C) A land bridge and suitable habitat","(C) Warm periods","(B) habitat changes dictate migration.","(A) Food availability","I don’t know."