"Timestamp","Participant number:","How are our sensory inputs typically processed during an event?","What does one theory suggest might cause déjà vu when a sensory input is delayed?","According to one theory, what might happen if new experiences bypass short-term memory?","What does the text suggest about the range of explanations for déjà vu?","What is the scientific consensus on the nature of déjà vu?","What does the discussion of déjà vu in the text imply about human memory?","What conclusion does the text suggest about fully understanding déjà vu?"," I am good at watching this multimodal learning material.","How much mental and perceptual activity was required while watching the multimodal learning material (e.g., thinking, remembering)?","How frustrated, irritated, stressed, or annoyed did you feel while watching the multimodal learning material?","Watching this multimodal learning material was pleasurable to me.","How much time pressure did you feel while watching the multimodal learning material?","How much effort did you have to put in mentally and physically to understand the multimodal learning material?"," I lost track of what was going on outside of watching this multimodal learning material.","How much physical effort was required while engaging with the multimodal learning material (e.g., adjusting posture, maintaining focus)?","How difficult did you find the content of the multimodal learning material?","How familiar were you with the content of the multimodal learning material before engaging with it?","I have a good understanding of the multimodal learning material"
"2024/08/04 11:51:46 AM GMT+8","P3","- B) As a combined single experience","- C) It is perceived as a separate event","- D) They create false memories","- B) There are multiple plausible explanations","- B) It remains a phenomenon with many unknowns","- B) Memory can sometimes fail or create errors","- C) It requires experiencing the phenomenon repeatedly","2","6","7","3","2","6","5","3","7","1","2"
"2024/08/04 9:10:23 PM GMT+8","P1","- B) As a combined single experience","- C) It is perceived as a separate event","- B) They seem like familiar events","- B) There are multiple plausible explanations","- B) It remains a phenomenon with many unknowns","- B) Memory can sometimes fail or create errors","- C) It requires experiencing the phenomenon repeatedly","5","3","2","6","2","5","5","2","5","2","3"
"2024/08/05 11:52:48 AM GMT+8","16","- B) As a combined single experience","- A) It creates a sense of familiarity","- B) They seem like familiar events","- B) There are multiple plausible explanations","- B) It remains a phenomenon with many unknowns","- B) Memory can sometimes fail or create errors","- C) It requires experiencing the phenomenon repeatedly","4","4","3","4","3","3","3","2","4","3","4"
"2024/08/05 12:39:10 PM GMT+8","P2","- B) As a combined single experience","- C) It is perceived as a separate event","- B) They seem like familiar events","- B) There are multiple plausible explanations","- B) It remains a phenomenon with many unknowns","- B) Memory can sometimes fail or create errors","- C) It requires experiencing the phenomenon repeatedly","6","1","1","6","1","2","6","1","2","2","6"
"2024/08/06 4:10:12 PM GMT+8","P7","- B) As a combined single experience","- C) It is perceived as a separate event","- B) They seem like familiar events","- B) There are multiple plausible explanations","- B) It remains a phenomenon with many unknowns","- B) Memory can sometimes fail or create errors","- C) It requires experiencing the phenomenon repeatedly","5","4","2","2","2","3","2","2","2","4","5"
"2024/08/06 6:59:07 PM GMT+8","8","- B) As a combined single experience","- C) It is perceived as a separate event","- B) They seem like familiar events","- B) There are multiple plausible explanations","- B) It remains a phenomenon with many unknowns","- B) Memory can sometimes fail or create errors","- C) It requires experiencing the phenomenon repeatedly","6","6","5","6","5","6","4","5","3","3","6"
"2024/08/06 9:07:13 PM GMT+8","11","- B) As a combined single experience","- A) It creates a sense of familiarity","- B) They seem like familiar events","- B) There are multiple plausible explanations","- B) It remains a phenomenon with many unknowns","- B) Memory can sometimes fail or create errors","- C) It requires experiencing the phenomenon repeatedly","4","3","4","1","2","2","4","2","5","1","4"
"2024/08/07 12:29:08 AM GMT+8","P10","- B) As a combined single experience","- C) It is perceived as a separate event","- B) They seem like familiar events","- B) There are multiple plausible explanations","- B) It remains a phenomenon with many unknowns","- B) Memory can sometimes fail or create errors","- C) It requires experiencing the phenomenon repeatedly","5","3","1","4","1","2","4","2","2","4","6"
"2024/08/07 2:52:03 AM GMT+8","P4","- B) As a combined single experience","- C) It is perceived as a separate event","- B) They seem like familiar events","- B) There are multiple plausible explanations","- B) It remains a phenomenon with many unknowns","- B) Memory can sometimes fail or create errors","- C) It requires experiencing the phenomenon repeatedly","4","4","3","4","4","6","4","4","6","2","4"
"2024/08/07 3:31:26 PM GMT+8","P5","- B) As a combined single experience","- A) It creates a sense of familiarity","- B) They seem like familiar events","- A) There is a single accepted explanation","- C) It is caused by specific neurological conditions","- B) Memory can sometimes fail or create errors","- C) It requires experiencing the phenomenon repeatedly","4","1","1","5","2","1","2","2","3","3","4"
"2024/08/07 8:07:57 PM GMT+8","P12","- B) As a combined single experience","- C) It is perceived as a separate event","- B) They seem like familiar events","- B) There are multiple plausible explanations","- B) It remains a phenomenon with many unknowns","- B) Memory can sometimes fail or create errors","- B) It is impossible to ever understand it completely","3","5","5","3","2","6","2","4","3","5","5"
"2024/08/07 11:01:26 PM GMT+8","P15","- B) As a combined single experience","- A) It creates a sense of familiarity","- B) They seem like familiar events","- B) There are multiple plausible explanations","- B) It remains a phenomenon with many unknowns","- B) Memory can sometimes fail or create errors","- B) It is impossible to ever understand it completely","5","5","4","6","2","2","2","2","3","2","6"
"2024/08/07 11:14:42 PM GMT+8","P9","- B) As a combined single experience","- A) It creates a sense of familiarity","- B) They seem like familiar events","- B) There are multiple plausible explanations","- B) It remains a phenomenon with many unknowns","- B) Memory can sometimes fail or create errors","- C) It requires experiencing the phenomenon repeatedly","3","1","2","1","1","1","3","1","2","1","3"
"2024/08/07 11:27:56 PM GMT+8","P6","- A) As separate, distinct experiences","- A) It creates a sense of familiarity","- B) They seem like familiar events","- B) There are multiple plausible explanations","- B) It remains a phenomenon with many unknowns","- B) Memory can sometimes fail or create errors","- C) It requires experiencing the phenomenon repeatedly","6","5","2","5","3","3","3","3","3","5","5"
"2024/08/13 9:13:55 AM GMT+8","13","- B) As a combined single experience","- A) It creates a sense of familiarity","- B) They seem like familiar events","- B) There are multiple plausible explanations","- B) It remains a phenomenon with many unknowns","- B) Memory can sometimes fail or create errors","- B) It is impossible to ever understand it completely","5","6","5","4","5","6","6","5","5","4","4"
"2024/08/14 3:42:00 PM GMT+8","P14","- B) As a combined single experience","- A) It creates a sense of familiarity","- A) They are forgotten immediately","- B) There are multiple plausible explanations","- B) It remains a phenomenon with many unknowns","- B) Memory can sometimes fail or create errors","- B) It is impossible to ever understand it completely","3","4","5","3","2","3","3","4","5","5","3"